what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390758802
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390760679
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390761261
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390762687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390789668
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390794504
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390810364
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390812012
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390839584
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474390856973
activated,view,edu.umd.cs.findbugs.plugin.eclipse,3.0.1.20150306-5afe4d1,"de.tobject.findbugs.view.bugtreeview",1474390857031
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1474390863683
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390864183
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390891319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390892629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390895727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390907726
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390919945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390924212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390930762
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390936482
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390936918
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390938697
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390939025
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390940634
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390941318
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390942665
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390956382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390957218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390957658
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474390960211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390960736
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1474398490535
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474398490720
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1474398492602
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1474398492656
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1474398492659
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1474398492670
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1474398492698
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1474398492718
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1474398492739
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1474398492795
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1474398492807
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1474398492854
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1474398492877
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1474398492948
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1474398492959
